wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260618_004749-0czqqjc7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__baseline__3__1781758066
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/0czqqjc7
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=6976, return=-10.754984201159242
global_step=6976, return=0.6543768490718427
global_step=6976, return=1.8752028569097958
global_step=7040, return=-4.486001819414671
global_step=7040, return=-9.398461525493012
global_step=7040, return=-8.199137249383744
global_step=7040, return=-3.7929925253075485
global_step=7040, return=-2.5477968803398428
global_step=7104, return=-10.399648237486588
global_step=7104, return=14.442493369861094
global_step=7104, return=5.756703698730273
global_step=7104, return=1.8586133749466287
global_step=7168, return=1.645811734794013
global_step=7168, return=1.5138798137989296
global_step=7168, return=-4.7481183671166605
global_step=7168, return=-2.1589117814513883
global_step=7168, return=-8.999499310970378
global_step=7232, return=5.302507781303357
global_step=7232, return=-8.133791921351726
global_step=7232, return=-6.410125188930017
global_step=7296, return=16.819903630358983
global_step=7296, return=0.01660328952850887
global_step=7296, return=8.892582424918169
global_step=7360, return=1.92716646342636
global_step=7360, return=2.3938259082804985
global_step=7360, return=1.7025783946815272
global_step=7424, return=-0.7827376113396936
global_step=7424, return=19.811814260967193
global_step=7424, return=1.296514890011852
global_step=7488, return=-1.1460019916600088
global_step=7488, return=-0.4804240260718521
global_step=7488, return=-3.5328019074661947
global_step=7488, return=-2.9156664117528717
global_step=7488, return=16.20050707345245
global_step=7552, return=62.977518609921624
global_step=7552, return=-2.777053505650402
global_step=7552, return=-13.860313838189203
global_step=7552, return=-2.914888390468584
global_step=7616, return=-0.38243390026028956
global_step=7616, return=2.970255788801044
global_step=7616, return=-2.003646082037585
global_step=7680, return=-6.683475655710222
global_step=7744, return=6.12403283592781
global_step=7744, return=-3.886416039176228
global_step=7744, return=6.0607677799422905
global_step=7808, return=3.785597835306818
global_step=7808, return=5.262034323128658
global_step=7808, return=-2.984566256950373
global_step=7808, return=1.0529236064312733
global_step=7872, return=-10.051452679435636
global_step=7872, return=-4.582839179603564
global_step=7872, return=-3.080487926311174
global_step=7872, return=0.6454090658081486
global_step=7872, return=-6.266925668641941
global_step=7936, return=1.988005837222444
global_step=7936, return=-5.119176471222909
global_step=7936, return=-5.046559907256084
global_step=7936, return=3.457349327094794
global_step=7936, return=1.999628465828934
global_step=8000, return=4.443961199974209
global_step=8000, return=-0.663617800743286
global_step=8000, return=0.8975406966247208
global_step=8000, return=2.842216484777838
global_step=8000, return=-6.433706242374873
global_step=8064, return=1.2458439722887031
global_step=8128, return=-0.7926206157577201
global_step=8128, return=-4.634070485255714
global_step=8128, return=5.829028126321269
global_step=8128, return=15.165672365306847
global_step=8128, return=-4.973813310713619
global_step=8128, return=4.424192270900204
global_step=8192, return=1.6980172614410591
SPS: 759
global_step=8256, return=-6.9818647027000305
global_step=8320, return=-0.8737343414536305
global_step=8320, return=-4.682275566830581
global_step=8320, return=0.8651645631029643
global_step=8320, return=-0.8230625134386134
global_step=8384, return=1.0615376855823369
global_step=8448, return=-4.043467602928157
global_step=8448, return=1.0096446050279393
global_step=8512, return=-3.6416028570638828
global_step=8512, return=3.6423886646838026
global_step=8512, return=-0.4902090917604559
global_step=8512, return=-2.5011441746484246
global_step=8576, return=-9.693513210711876
global_step=8576, return=-2.610316052092181
global_step=8576, return=-7.459869078060583
global_step=8640, return=-1.4522215338549405
global_step=8640, return=6.763588945553049
global_step=8640, return=-3.731266514351039
global_step=8704, return=0.6093221041937179
global_step=8704, return=-4.1733521128021485
global_step=8704, return=-4.502917810251384
global_step=8704, return=-11.16076080187139
global_step=8704, return=-0.03049026090774376
global_step=8768, return=4.199786834764856
global_step=8832, return=0.431371668750975
